parid,par,party,win_pct,state,votes_cast,votes_spoilt,ttl_reg,turn_out,malay,muslim_bumiputera,non_muslim_bumiputera,bp_sabah,bp_sarawak,org_asli_pen,others,chinese,indian,urbanisation_level,status,ttl_felda_area,age_21_30,age_31_40,age_41_50,age_51_60,age_61_70,age_71_80,age_81_90,age_above_90,coalition
71,GOPENG,PKR,0.6175,PERAK,79233,853,99167,0.8076000000000001,0.42369999999999997,,,0.0007000000000000001,0.0007000000000000001,0.0209,0.0026,0.46009999999999995,0.09119999999999999,SEMI URBAN,NON-FELDA,0,16.72,23.17,19.89,18.86,12.85,6.2,2.02,0.29,GOVERNMENT
72,TAPAH,BN,0.4447,PERAK,36174,760,47128,0.7837000000000001,0.46240000000000003,,,0.0008,0.001,0.12960000000000002,0.005,0.2583,0.1429,RURAL,NON-FELDA,0,16.52,23.65,18.01,18.52,13.08,6.97,2.65,0.59,OPPOSITION
73,PASIR SALAK,BN,0.4604,PERAK,43445,895,54671,0.8109999999999999,0.8065000000000001,,,0.0004,0.0005,0.0275,0.0015,0.1286,0.0349,RURAL,NON-FELDA,0,16.7,25.25,19.61,16.72,12.25,6.74,2.27,0.46,OPPOSITION
74,LUMUT,PKR,0.4093,PERAK,53645,1081,67157,0.8149,0.7204999999999999,,,0.005600000000000001,0.0066,0.0003,0.003,0.1496,0.1144,SEMI URBAN,NON-FELDA,0,20.24,29.52,18.05,16.67,10.12,3.95,1.19,0.27,GOVERNMENT
75,BAGAN DATUK,BN,0.5136999999999999,PERAK,36806,814,47309,0.7951999999999999,0.5899,,,0.0036,0.0015,0.0002,0.011399999999999999,0.1772,0.2163,RURAL,NON-FELDA,0,18.37,25.23,16.84,16.94,13.03,6.7,2.37,0.51,OPPOSITION
76,TELUK INTAN,PKR,0.5437,PERAK,53655,742,66487,0.8181999999999999,0.4067,,,0.0002,0.0004,0.0021,0.0033,0.40090000000000003,0.1864,SEMI URBAN,NON-FELDA,0,16.1,22.47,17.22,18.4,14.87,7.6,2.68,0.65,GOVERNMENT
77,TANJONG MALIM,PKR,0.45439999999999997,PERAK,54297,1051,68468,0.8084,0.5556,,,0.0006,0.0007000000000000001,0.053099999999999994,0.0043,0.2556,0.13019999999999998,RURAL,FELDA,10,14.97,25.76,17.86,16.76,14.86,7.12,2.18,0.5,GOVERNMENT
78,CAMERON HIGHLANDS,BN,0.423,PAHANG,24365,790,32048,0.7848999999999999,0.335,,,0.0012,0.0006,0.21559999999999999,0.0037,0.2948,0.1491,RURAL,NON-FELDA,0,17.3,24.32,20.14,17.65,11.84,6.27,1.99,0.48,OPPOSITION
79,LIPIS,BN,0.4982,PAHANG,28092,462,35294,0.809,0.7802,,,0.0005,0.0007000000000000001,0.0077,0.0022,0.1564,0.052300000000000006,RURAL,FELDA,2,19.11,23.64,17.75,18.47,11.73,6.29,2.54,0.47,OPPOSITION
80,RAUB,PKR,0.4489,PAHANG,46025,766,57723,0.8106,0.5207,,,0.0005,0.0006,0.0325,0.0032,0.3811,0.061500000000000006,RURAL,FELDA,4,16.47,23.44,18.26,18.95,13.27,6.87,2.31,0.41,GOVERNMENT
81,JERANTUT,BN,0.4506,PAHANG,50249,941,63609,0.8048000000000001,0.8176000000000001,,,0.0006,0.0005,0.022400000000000003,0.0023,0.13019999999999998,0.0263,RURAL,FELDA,14,17.75,27.66,19.8,14.68,12.25,6.31,1.34,0.21,OPPOSITION
82,INDERA MAHKOTA,PKR,0.4485,PAHANG,63721,622,77208,0.8334,0.6662,,,0.0027,0.0016,0.0004,0.0033,0.26890000000000003,0.056799999999999996,SEMI URBAN,NON-FELDA,0,21.43,26.11,19.82,17.81,10.21,3.52,0.94,0.17,GOVERNMENT
83,KUANTAN,PKR,0.4457,PAHANG,51170,798,62696,0.8289,0.6639,,,0.0011,0.0009,0.0017000000000000001,0.0032,0.2958,0.0334,URBAN,NON-FELDA,0,17.75,22.19,19.6,19.23,13.36,5.76,1.71,0.39,GOVERNMENT
84,PAYA BESAR,BN,0.4316,PAHANG,44100,671,55135,0.812,0.8336,,,0.0006,0.0007000000000000001,0.013999999999999999,0.0032,0.1286,0.0194,RURAL,FELDA,14,19.7,25.83,19.19,17.65,11.34,5.05,1.06,0.19,OPPOSITION
85,PEKAN,BN,0.621,PAHANG,70614,1393,88899,0.81,0.8779,,,0.0023,0.0048,0.0786,0.008100000000000001,0.020099999999999996,0.008199999999999999,RURAL,FELDA,8,22.43,30.87,18.27,14.44,9.34,3.36,1.06,0.23,OPPOSITION
86,MARAN,BN,0.49090000000000006,PAHANG,32725,482,41036,0.8092,0.9016,,,0.0005,0.0005,0.0183,0.003,0.0616,0.014499999999999999,RURAL,FELDA,12,17.08,26.34,21.56,14.79,10.36,7.77,1.82,0.28,OPPOSITION
87,KUALA KRAU,BN,0.4714,PAHANG,38311,613,47264,0.8234999999999999,0.8986,,,0.0004,0.0005,0.0478,0.0021,0.0277,0.0229,RURAL,FELDA,15,18.75,29.73,19.12,12.39,13.15,5.51,1.16,0.18,OPPOSITION
88,TEMERLOH,PKR,0.3931,PAHANG,61050,865,75081,0.8245999999999999,0.6647,,,0.0029,0.0060999999999999995,0.0125,0.0075,0.22519999999999998,0.08109999999999999,SEMI URBAN,FELDA,2,20.33,25.72,18.8,17.31,11.26,4.69,1.55,0.34,GOVERNMENT
89,BENTONG,PKR,0.4667,PAHANG,55106,783,67359,0.8297,0.465,,,0.0009,0.0017000000000000001,0.0208,0.0031,0.4169,0.0916,RURAL,FELDA,8,15.79,23.64,19.47,18.7,13.09,6.89,2.06,0.35,GOVERNMENT
90,BERA,BN,0.4389,PAHANG,47305,767,58711,0.8188,0.6189,,,0.002,0.0017000000000000001,0.045899999999999996,0.0028000000000000004,0.2917,0.0371,RURAL,FELDA,14,19.12,26.72,19.07,15.59,12.16,5.88,1.26,0.19,OPPOSITION
91,ROMPIN,BN,0.5354,PAHANG,49737,917,61918,0.8181,0.8771,,,0.0008,0.0006,0.08449999999999999,0.0034999999999999996,0.0231,0.0103,RURAL,FELDA,15,21.0,29.75,16.14,15.86,12.97,3.41,0.71,0.16,OPPOSITION
92,SABAK BERNAM,BN,0.3857,SELANGOR,33350,565,40863,0.83,0.8305,,,0.0005,0.0007000000000000001,0.0001,0.002,0.11689999999999999,0.0495,RURAL,NON-FELDA,0,19.57,25.39,17.84,16.89,11.52,6.23,2.19,0.37,OPPOSITION
93,SUNGAI BESAR,PKR,0.4211,SELANGOR,41206,564,48739,0.857,0.6870999999999999,,,0.0011,0.0005,0.0001,0.0033,0.2877,0.0202,RURAL,NON-FELDA,0,20.83,25.01,19.58,16.76,10.7,5.24,1.59,0.3,GOVERNMENT
94,HULU SELANGOR,PKR,0.47859999999999997,SELANGOR,85221,1310,100990,0.8568000000000001,0.6039,,,0.0017000000000000001,0.0016,0.016399999999999998,0.0062,0.20800000000000002,0.16219999999999998,RURAL,FELDA,4,19.21,22.7,21.41,19.41,10.82,4.59,1.55,0.31,GOVERNMENT
